TF name		Call	methyl-SELEX call	bisulfite call
RFX5		Little effect	Little effect	not available
SP3		Little effect	Little effect	low enrichment
TGIF2LX		MethylPlus	MethylPlus	low enrichment
				low enrichment
ZNF140		Little effect	Little effect	Little effect
BATF3*		inconclusive	MethylMinus	weak MethylMinus
BATF3*		inconclusive	MethylMinus	weak MethylPlus
DBP*		inconclusive	MethylMinus	weak MethylPlus
DBP*		inconclusive	MethylMinus	Little effect
FOSB		inconclusive	MethylMinus	Little effect
GCM1		inconclusive	MethylMinus	Little effect
GCM2		inconclusive	MethylMinus	weak MethylPlus
HSF1		inconclusive	MethylMinus and MethylPlus	Little effect
				MethylPlus
HSF5		inconclusive	MethylMinus	MethylPlus
				MethylPlus
				MethylPlus
IRF3*		inconclusive	MethylMinus	weak MethylMinus
				weak MethylMinus
IRF3*		inconclusive	MethylMinus	MethylPlus
				weak MethylPlus
IRF8*		inconclusive	MethylMinus	weak MethylMinus
				Little effect
JDP2		inconclusive	MethylMinus	weak MethylPlus
OSR2		inconclusive	MethylMinus	MethylPlus
				MethylPlus
YY1		inconclusive	MethylMinus and MethylPlus	MethylPlus
				MethylPlus
ZFP41		inconclusive	MethylMinus	MethylPlus
				MethylPlus
ZIC1*		inconclusive	MethylMinus	Little effect
			MethylMinus	weak MethylMinus
ZIC1*		inconclusive	MethylMinus	weak MethylPlus
				Little effect
ZIC3*		inconclusive	MethylMinus	weak MethylPlus
				MethylMinus
ZIC3*		inconclusive	MethylMinus	Little effect
				weak MethylMinus
ZIC4		inconclusive	MethylMinus	Little effect
				weak MethylMinus
ZIC5		inconclusive	MethylMinus	weak MethylPlus
				
ZNF177		inconclusive	MethylMinus	weak MethylPlus
				Little effect
ZNF597		inconclusive	MethylMinus and MethylPlus	MethylPlus
				weak MethylPlus
ZNF76		inconclusive	MethylMinus	weak MethylMinus
				Little effect
ZSCAN1		inconclusive	Little effect	MethylPlus
				Little effect
ZSCAN4		inconclusive	Little effect	MethylPlus
				weak MethylPlus

GATA3		MethylPlus	Little effect	MethylPlus
GBX2		MethylPlus	MethylPlus	low complexity motif
HOXD3		MethylPlus	MethylPlus	low complexity motif
IRX5		MethylPlus	MethylPlus	MethylPlus
				MethylPlus
				MethylPlus
				MethylPlus
ISX		MethylPlus	MethylPlus	low complexity motif
KLF15		MethylPlus	MethylPlus	low enrichment
LHX9		MethylPlus	MethylPlus	low complexity motif
LHX9		MethylPlus	MethylPlus	low complexity motif
NKX2-5		MethylPlus	MethylPlus	low complexity motif
POU5F1		MethylPlus	MethylPlus	MethylPlus
POU5F1		MethylPlus	MethylPlus	MethylPlus
RXRG		MethylPlus	MethylPlus	MethylPlus
SNAI1		MethylPlus	MethylPlus	MethylPlus
ZSCAN31		MethylPlus	MethylPlus	MethylPlus
				MethylPlus
				MethylPlus
CREB3		MethylMinus	MethylMinus	weak MethylMinus
CREB3		MethylMinus	MethylMinus	weak MethylMinus
CREB3		MethylMinus	MethylMinus	not available
CREB3		MethylMinus	MethylMinus	weak MethylMinus
CREB3		MethylMinus	MethylMinus	weak MethylMinus
CREB3		MethylMinus	MethylMinus	not available
CREB5		MethylMinus	MethylMinus	low enrichment
ELF3		MethylMinus	MethylMinus	MethylMinus
ELF5		MethylMinus	MethylMinus	weak MethylMinus
FEV		MethylMinus	MethylMinus	MethylMinus
FLI1		MethylMinus	MethylMinus	MethylMinus
FLI1		MethylMinus	Little effect	MethylMinus
				weak MethylMinus
GMEB1		MethylMinus	MethylMinus	MethylMinus
				MethylMinus
HES5		MethylMinus	MethylMinus	MethylMinus
SPIB		MethylMinus	MethylMinus	MethylMinus
EGR3		Little effect	Little effect	Little effect
				Little effect
BATF3*		inconclusive	MethylMinus	Little effect
DBP*		inconclusive	MethylMinus	Little effect
GCM1*		inconclusive	MethylMinus	low enrichment
IRF3*		inconclusive	MethylMinus	weak MethylPlus
				Little effect
IRF8*		inconclusive	MethylMinus	Little effect
				Little effect
YY1		inconclusive	MethylMinus and MethylPlus	MethylPlus
				MethylPlus
ZIC3		inconclusive	MethylMinus	weak MethylPlus
				weak MethylMinus
ZNF76		inconclusive	MethylMinus	MethylPlus
				MethylPlus

MNX1		MethylPlus	MethylPlus	
BARHL1		MethylMinus	MethylMinus	
DLX6		MethylPlus	MethylPlus	
DLX4		MethylPlus	MethylPlus	
DLX3		MethylPlus	MethylPlus	
DLX5		MethylPlus	MethylPlus	
NKX2-8		MethylPlus	MethylPlus	
		MethylPlus	MethylPlus	
VENTX		MethylMinus	MethylMinus	
HOXB4		MethylPlus	MethylPlus	
GSX1		MethylPlus	MethylPlus	
MEOX1		Little effect	Little effect	
MEOX2		Little effect	Little effect	
HOXA9		MethylPlus	MethylPlus	
CDX2		MethylPlus	MethylPlus	
CDX1		MethylPlus	MethylPlus	
EVX1		MethylPlus	MethylPlus	
EVX2		MethylPlus	MethylPlus	
ALX4		MethylPlus	MethylPlus	
PRRX2		MethylPlus	MethylPlus	
SHOX		MethylPlus	MethylPlus	
PROP1		MethylPlus	MethylPlus	
MIXL1		MethylPlus	MethylPlus	
RAX		MethylPlus	MethylPlus	
LHX1		MethylPlus	MethylPlus	
SIX4		Little effect	Little effect	
SIX1		Little effect	Little effect	
SIX3		Little effect	Little effect	
SIX6		Little effect	Little effect	
HES6		MethylMinus	MethylMinus	
SREBF2		MethylMinus	MethylMinus	
		MethylMinus	MethylMinus	
TFEB		MethylMinus	MethylMinus	
TCF12		MethylMinus	MethylMinus	
PTF1A		Little effect	Little effect	
ASCL2		MethylMinus	MethylMinus	
CREB3L4		MethylMinus	MethylMinus	
		MethylMinus	MethylMinus	
		MethylMinus	MethylMinus	
BACH2		MethylMinus	MethylMinus	
JUN		MethylMinus	MethylMinus	
		MethylMinus	MethylMinus	
JUND		MethylMinus	MethylMinus	
		MethylMinus	MethylMinus	
JUNB		MethylMinus	MethylMinus	
FOSL1		MethylMinus	MethylMinus	
		Little effect	Little effect	
TEF		MethylMinus	MethylMinus	
ATF4		MethylMinus	MethylMinus	
MAFG		MethylMinus	MethylMinus	
MAF		MethylMinus	MethylMinus	
MAFA		MethylMinus	MethylMinus	
ELK4		MethylMinus	MethylMinus	
ETV7		MethylMinus	MethylMinus	
		MethylMinus	MethylMinus	
TFAP2E		MethylMinus	MethylMinus	
		MethylMinus	MethylMinus	
TFAP2B		MethylMinus	MethylMinus	
TFAP2A		MethylMinus	MethylMinus	
TFAP2C		MethylMinus	MethylMinus	
E2F1		MethylMinus	MethylMinus	
FOXN2		MethylMinus	MethylMinus	
FOXL2		MethylPlus	MethylPlus	
TCF7		MethylMinus	MethylMinus	
SOX14		MethylMinus	MethylMinus	
SOX12		MethylMinus	MethylMinus	
HSF4		MehylMinus and MethylPlus	MehylMinus and MethylPlus	
SMAD5		MethylPlus	MethylPlus	
NR1I2		MethylPlus	MethylPlus	
NR3C1		MethylPlus	MethylPlus	
POU1F1		MethylPlus	MethylPlus	
		MethylPlus	MethylPlus	
POU6F1		MethylPlus	MethylPlus	
NFATC4		MethylPlus	MethylPlus	
		MethylPlus	MethylPlus	
BCL11B		Little effect	Little effect	
ZNF501		MethylMinus	MethylMinus	
ZNF449		MethylMinus	MethylMinus	
		Little effect	Little effect	
ZNF396		Little effect	Little effect	
		MethylMinus	MethylMinus	
