methyl,region,cell,TF,size,yes,pwm,value,auc
array,promoter,HepG2,CTCF,3287.0,1521.0,0.8015068666982897,0.7660533251320151,0.7660533251320151
array,promoter,HepG2,ELF1,492.5,59.0,0.6259643884653892,0.8758660495529287,0.8758660495529287
array,promoter,HepG2,ETS1,522.0,9.5,0.6305488215488215,0.8958585858585859,0.8958585858585859
array,promoter,HepG2,ETV4,59.0,6.0,0.490566037735849,0.8710691823899372,0.8710691823899372
array,promoter,HepG2,ETV5,255.0,6.0,0.5863453815261045,0.8400267737617135,0.8400267737617135
array,promoter,HepG2,FOSL2,276.0,22.0,0.7114228227442256,0.8217992758838797,0.8217992758838797
array,promoter,HepG2,FOXA2,131.0,31.0,0.5955133108935129,0.8420861383108935,0.8420861383108935
array,promoter,HepG2,FOXP1,268.0,8.0,0.6341346153846155,0.8100961538461539,0.8100961538461539
array,promoter,HepG2,GABPA,644.5,112.5,0.6981599938462386,0.8859911025157525,0.8859911025157525
array,promoter,HepG2,HLF,100.5,36.0,0.5710917089386099,0.877784865458316,0.877784865458316
array,promoter,HepG2,HNF4A,260.0,35.0,0.6706472672064777,0.8202530364372469,0.8202530364372469
array,promoter,HepG2,HNF4G,334.0,12.0,0.6529503105590062,0.8227225672877847,0.8227225672877847
array,promoter,HepG2,JUN,159.0,52.5,0.6569330179038444,0.8619719634543517,0.8619719634543517
array,promoter,HepG2,JUND,105.0,8.0,0.446520618556701,0.8698453608247423,0.8698453608247423
array,promoter,HepG2,KLF6,2332.5,18.0,0.4973064014585816,0.7016427212203888,0.7016427212203888
array,promoter,HepG2,MAFF,163.5,15.0,0.8125833333333333,0.5877222222222223,0.5877222222222223
array,promoter,HepG2,MAFK,107.0,15.5,0.6249420849420849,0.5486615186615186,0.5486615186615186
array,promoter,HepG2,MAX,390.5,38.5,0.4379048870048064,0.8944219447986577,0.8944219447986577
array,promoter,HepG2,MAZ,9167.0,279.5,0.49707059619600064,0.7765420067042959,0.7765420067042959
array,promoter,HepG2,MLX,403.5,10.0,0.6138454961279074,0.8985683193578994,0.8985683193578994
array,promoter,HepG2,MNT,811.5,40.5,0.5344376759800737,0.8841473088585662,0.8841473088585662
array,promoter,HepG2,MXI1,1143.5,24.5,0.6486357307835127,0.9049288183678632,0.9049288183678632
array,promoter,HepG2,MYC,1096.5,21.5,0.5219672089747562,0.9397589801218994,0.9397589801218994
array,promoter,HepG2,NFE2L2,229.0,7.5,0.7951994183725319,0.7377749346689895,0.7377749346689895
array,promoter,HepG2,NFIA,243.0,15.0,0.5815512911980303,0.7796454451345756,0.7796454451345756
array,promoter,HepG2,NFIL3,122.0,23.5,0.6344914485761524,0.8846525165693202,0.8846525165693202
array,promoter,HepG2,NFYC,338.5,33.0,0.7066205582817344,0.7934699957050799,0.7934699957050799
array,promoter,HepG2,NR2C2,1020.0,10.0,0.5649504950495049,0.8392079207920792,0.8392079207920792
array,promoter,HepG2,NR2F6,303.0,7.0,0.563369196131985,0.7537126916168401,0.7537126916168401
array,promoter,HepG2,NRF1,2745.0,648.5,0.7193619680816982,0.7228503789584899,0.7228503789584899
array,promoter,HepG2,REST,675.0,12.0,0.7694821518350929,0.6458019105077928,0.6458019105077928
array,promoter,HepG2,RFX1,223.0,6.0,0.7538787807492224,0.9208558805845294,0.9208558805845294
array,promoter,HepG2,RFX3,287.0,57.0,0.6468836679647264,0.8347626836728258,0.8347626836728258
array,promoter,HepG2,RFX5,371.5,13.0,0.66904734830937,0.8941151531997451,0.8941151531997451
array,promoter,HepG2,SMAD4,251.0,6.0,0.4190476190476191,0.8673469387755103,0.8673469387755103
array,promoter,HepG2,SP1,3012.5,47.5,0.5400910384502056,0.764815706038902,0.764815706038902
array,promoter,HepG2,SP2,5359.0,19.5,0.567223078494763,0.7616349204985715,0.7616349204985715
array,promoter,HepG2,SP5,2343.0,78.0,0.5952059399185321,0.7507882119066145,0.7507882119066145
array,promoter,HepG2,SRF,185.0,17.0,0.6353172727185019,0.8564827768076232,0.8564827768076232
array,promoter,HepG2,TEAD1,236.5,8.5,0.6618017473995734,0.8481573965269618,0.8481573965269618
array,promoter,HepG2,TFAP4,619.0,16.0,0.6858759779773979,0.8322435525934513,0.8322435525934513
array,promoter,HepG2,TFE3,365.5,17.5,0.6175629664179105,0.9200598569651741,0.9200598569651741
array,promoter,HepG2,THRB,580.5,12.0,0.458557612795224,0.838434077570037,0.838434077570037
array,promoter,HepG2,USF1,614.5,131.5,0.6711174015537318,0.8203695827142969,0.8203695827142969
array,promoter,HepG2,USF2,1249.0,377.0,0.7538708998071642,0.8483918223296338,0.8483918223296338
array,promoter,HepG2,YY1,247.5,18.5,0.7650183094245766,0.8824827830325357,0.8824827830325357
array,promoter,HepG2,ZBTB33,762.5,147.0,0.8075352610506982,0.8170965658332932,0.8170965658332932
array,promoter,HepG2,ZBTB7A,4739.5,124.5,0.5630072690337156,0.7430830325930693,0.7430830325930693
array,promoter,HepG2,ZNF143,316.5,6.5,0.7597860837992417,0.8802474937343359,0.8802474937343359
array,promoter,HepG2,ZNF652,95.0,7.0,0.6647727272727272,0.8490259740259741,0.8490259740259741
array,promoter,K562,AR,182.0,34.0,0.5796828078078078,0.6439752252252251,0.6439752252252251
array,promoter,K562,ATF1,502.5,83.5,0.7359964418484569,0.8408178260626129,0.8408178260626129
array,promoter,K562,ATF2,399.0,113.0,0.7847971442520167,0.7875191267629758,0.7875191267629758
array,promoter,K562,ATF3,698.0,135.0,0.6310326689689543,0.8453092295057804,0.8453092295057804
array,promoter,K562,ATF4,165.0,17.0,0.7496025437201908,0.6732909379968204,0.6732909379968204
array,promoter,K562,ATF7,220.0,63.5,0.8255740076874265,0.7936976978414543,0.7936976978414543
array,promoter,K562,BHLHE40,838.0,54.0,0.6416428781004608,0.7926555397174093,0.7926555397174093
array,promoter,K562,CEBPB,76.0,60.0,0.6486271997414276,0.6320133441841406,0.6320133441841406
array,promoter,K562,CEBPD,55.0,11.5,0.5991204690831557,0.7810634328358209,0.7810634328358209
array,promoter,K562,CEBPG,86.5,23.5,0.5682952069716776,0.6279193899782135,0.6279193899782135
array,promoter,K562,CREB1,478.0,46.5,0.7434797669029006,0.8341637584030801,0.8341637584030801
array,promoter,K562,CREB3,388.0,6.0,0.5346858638743456,0.8660558464223386,0.8660558464223386
array,promoter,K562,CREB3L1,546.0,9.5,0.6354174097647713,0.8653258534729433,0.8653258534729433
array,promoter,K562,CREM,484.5,94.0,0.7013250949427645,0.7882676135683182,0.7882676135683182
array,promoter,K562,CTCF,4162.5,2605.0,0.8098840333407604,0.7733889563302554,0.7733889563302554
array,promoter,K562,CTCFL,2268.5,264.5,0.7618356613942063,0.7595344992573803,0.7595344992573803
array,promoter,K562,E2F1,6261.0,116.0,0.49805387011704,0.793486840871933,0.793486840871933
array,promoter,K562,E2F4,1332.5,67.0,0.5568971867974002,0.8154523898133832,0.8154523898133832
array,promoter,K562,E2F6,1282.5,109.5,0.6730922193673585,0.7506699606730309,0.7506699606730309
array,promoter,K562,E2F8,324.0,7.0,0.4899041894968575,0.8493716059907506,0.8493716059907506
array,promoter,K562,EGR1,10199.5,1922.5,0.6019209377484865,0.7132329153685839,0.7132329153685839
array,promoter,K562,ELF1,495.0,115.0,0.6398959638306486,0.8517984649806148,0.8517984649806148
array,promoter,K562,ELF4,314.5,20.5,0.6155952343684594,0.8747925067343202,0.8747925067343202
array,promoter,K562,ELK1,349.5,30.0,0.6696717430697074,0.888031040334778,0.888031040334778
array,promoter,K562,ERG,179.0,9.0,0.6666666666666666,0.9444444444444444,0.9444444444444444
array,promoter,K562,ESRRA,853.0,9.0,0.6502764612954186,0.9304897314375986,0.9304897314375986
array,promoter,K562,ETS1,513.5,24.5,0.7876147692362863,0.8588371365615948,0.8588371365615948
array,promoter,K562,ETV1,329.0,19.5,0.5264600733991395,0.8536143275963891,0.8536143275963891
array,promoter,K562,ETV6,656.0,15.5,0.5939458246438087,0.8713295672563921,0.8713295672563921
array,promoter,K562,FOS,81.0,6.0,0.4244444444444444,0.8133333333333332,0.8133333333333332
array,promoter,K562,FOSL1,277.0,12.0,0.7732704402515722,0.8383647798742138,0.8383647798742138
array,promoter,K562,GABPA,561.5,92.0,0.6827785538904412,0.8539784486696167,0.8539784486696167
array,promoter,K562,GATA1,62.5,8.5,0.6462581536110947,0.7854155648273293,0.7854155648273293
array,promoter,K562,GMEB1,92.0,6.0,0.4757751937984496,0.8507751937984497,0.8507751937984497
array,promoter,K562,HINFP,485.0,8.0,0.432520964360587,0.9428721174004192,0.9428721174004192
array,promoter,K562,IRF1,685.5,37.0,0.7506576598992809,0.8072277902760439,0.8072277902760439
array,promoter,K562,IRF2,362.0,8.5,0.6857458082276165,0.7997998761558254,0.7997998761558254
array,promoter,K562,JUN,175.0,76.5,0.6789942040864119,0.8366855527150592,0.8366855527150592
